task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TSK-00015,Engineering,AST-00015,Interlocking Switch,COR-037,305.5,Rail flaw ultrasonics check required,Critical,5,4,4,19,240,6,Yes,Corrective,Scheduled,90.8,43.4,Medium,67.1
TSK-00016,Operating,AST-00016,Axle Counter,COR-059,391.9,Axle counter digital sensor reset test,Major,2,4,5,30,360,9,Yes,Corrective,Pending,60.9,86.0,High,73.5
TSK-00017,Signal & Telecom,AST-00017,Bridge Span,COR-064,405.3,Multi-aspect LED signal bulb replacement & relay test,Critical,5,1,3,3,180,7,No,Preventive,Pending,49.5,30.6,Medium,40.0
TSK-00018,Operating,AST-00018,Track Circuit,COR-084,407.4,Level crossing gate motor overhaul & interlock test,Minor,3,3,1,33,60,10,No,Preventive,Pending,43.9,26.2,Medium,35.0
TSK-00019,Electrical,AST-00019,Bridge Span,COR-081,302.4,Bridge expansion joint inspection & bolt tightening,Minor,5,1,1,12,120,12,Yes,Breakdown,Scheduled,68.3,58.4,Low,63.3
TSK-00020,Engineering,AST-00020,Signal - Multi Aspect,COR-057,71.5,Multi-aspect LED signal bulb replacement & relay test,Moderate,1,2,4,4,180,8,Yes,Breakdown,Completed,43.7,52.1,Low,47.9
TSK-00021,Signal & Telecom,AST-00021,Track Circuit,COR-068,174.2,Point machine lubrication & locking calibration,Moderate,2,4,2,17,360,10,Yes,Emergency,Completed,63.1,88.6,Low,75.8
TSK-00022,Signal & Telecom,AST-00022,Track Circuit,COR-060,268.6,Bridge expansion joint inspection & bolt tightening,Major,1,2,5,13,240,5,No,Emergency,Completed,84.3,76.5,Low,80.4
TSK-00023,Electrical,AST-00023,Axle Counter,COR-082,404.1,Multi-aspect LED signal bulb replacement & relay test,Minor,4,3,1,32,240,10,No,Preventive,Scheduled,68.5,91.3,Medium,79.9
TSK-00024,Electrical,AST-00024,Axle Counter,COR-090,125.4,Point machine lubrication & locking calibration,Critical,4,1,3,38,180,8,No,Breakdown,Scheduled,21.1,85.5,High,53.3
TSK-00025,Electrical,AST-00025,OHE Catenary,COR-029,268.1,Level crossing gate motor overhaul & interlock test,Major,2,5,4,33,60,9,Yes,Breakdown,Pending,35.4,88.2,High,61.8
TSK-00026,Signal & Telecom,AST-00026,Axle Counter,COR-012,382.2,Bridge expansion joint inspection & bolt tightening,Critical,4,1,2,29,360,5,No,Emergency,In Progress,85.1,85.0,Medium,85.0
TSK-00027,Operating,AST-00027,Interlocking Switch,COR-038,314.1,"Track tamping, ballast packing & alignment check",Minor,1,2,4,26,120,4,Yes,Corrective,Completed,33.2,59.0,High,46.1
TSK-00028,Engineering,AST-00028,Axle Counter,COR-051,7.8,Bridge expansion joint inspection & bolt tightening,Major,4,3,3,2,180,11,Yes,Preventive,Scheduled,41.5,89.8,Medium,65.7
TSK-00029,Operating,AST-00029,OHE Catenary,COR-004,261.0,Level crossing gate motor overhaul & interlock test,Moderate,3,3,1,1,240,3,No,Preventive,Pending,20.2,42.8,Low,31.5
TSK-00030,Signal & Telecom,AST-00030,Signal - Multi Aspect,COR-006,397.5,Axle counter digital sensor reset test,Major,4,1,3,0,240,10,Yes,Breakdown,Completed,39.1,42.5,Medium,40.8
TSK-00031,Signal & Telecom,AST-00031,Bridge Span,COR-054,275.8,Level crossing gate motor overhaul & interlock test,Critical,5,2,3,24,240,7,No,Emergency,In Progress,60.8,43.9,Medium,52.3
TSK-00032,Operating,AST-00032,Level Crossing Gate,COR-031,359.6,Multi-aspect LED signal bulb replacement & relay test,Moderate,3,1,3,39,240,3,Yes,Preventive,In Progress,68.5,86.5,High,77.5
TSK-00033,Operating,AST-00033,Signal - Multi Aspect,COR-012,279.0,OHE cantilever insulator cleaning & height adjustment,Critical,5,2,5,28,180,8,No,Corrective,Pending,24.4,79.3,Low,51.8
TSK-00034,Signal & Telecom,AST-00034,Signal - Multi Aspect,COR-076,92.3,Axle counter digital sensor reset test,Moderate,3,4,1,4,360,9,No,Breakdown,Scheduled,92.5,80.9,Low,86.7
TSK-00035,Signal & Telecom,AST-00035,Interlocking Switch,COR-015,278.3,Multi-aspect LED signal bulb replacement & relay test,Major,1,3,4,3,360,12,Yes,Corrective,Pending,72.6,70.5,High,71.5
TSK-00036,Engineering,AST-00036,Interlocking Switch,COR-017,312.0,Axle counter digital sensor reset test,Critical,1,5,2,18,60,9,No,Breakdown,In Progress,94.3,50.6,High,72.5
TSK-00037,Engineering,AST-00037,OHE Catenary,COR-094,329.4,OHE cantilever insulator cleaning & height adjustment,Moderate,5,2,5,27,60,7,Yes,Preventive,In Progress,91.6,51.8,Low,71.7
TSK-00038,Operating,AST-00038,Signal - Multi Aspect,COR-092,382.3,Bridge expansion joint inspection & bolt tightening,Minor,1,5,2,37,180,5,No,Corrective,Pending,34.1,43.3,High,38.7
TSK-00039,Operating,AST-00039,Axle Counter,COR-077,223.8,Level crossing gate motor overhaul & interlock test,Moderate,5,1,3,35,120,8,Yes,Emergency,Scheduled,42.5,85.8,High,64.2
TSK-00040,Signal & Telecom,AST-00040,Level Crossing Gate,COR-053,143.7,Axle counter digital sensor reset test,Major,4,1,5,44,240,7,No,Emergency,Pending,50.5,54.7,Medium,52.6
TSK-00041,Operating,AST-00041,Track Circuit,COR-009,40.1,Axle counter digital sensor reset test,Critical,4,2,4,28,120,11,Yes,Breakdown,Scheduled,95.5,47.9,Medium,71.7
TSK-00042,Engineering,AST-00042,Axle Counter,COR-053,149.8,Axle counter digital sensor reset test,Moderate,4,5,3,12,120,7,Yes,Preventive,In Progress,78.3,57.3,Low,67.8
TSK-00043,Signal & Telecom,AST-00043,OHE Catenary,COR-085,203.6,Bridge expansion joint inspection & bolt tightening,Moderate,3,5,2,38,240,7,No,Breakdown,Scheduled,60.9,51.8,Medium,56.3
TSK-00044,Electrical,AST-00044,Point & Crossing,COR-004,77.4,Rail flaw ultrasonics check required,Minor,3,5,4,2,120,5,Yes,Emergency,Pending,60.0,76.5,High,68.2
TSK-00045,Engineering,AST-00045,Track Circuit,COR-012,313.9,"Track tamping, ballast packing & alignment check",Major,4,2,5,32,240,10,Yes,Preventive,Pending,66.7,71.3,Low,69.0
TSK-00046,Engineering,AST-00046,Signal - Multi Aspect,COR-020,67.8,"Track tamping, ballast packing & alignment check",Moderate,1,4,1,11,240,6,Yes,Corrective,In Progress,69.5,47.4,High,58.5
TSK-00047,Signal & Telecom,AST-00047,Interlocking Switch,COR-097,216.2,Point machine lubrication & locking calibration,Major,1,3,1,26,180,5,Yes,Corrective,Completed,98.0,41.6,Low,69.8
TSK-00048,Operating,AST-00048,OHE Catenary,COR-077,24.9,OHE cantilever insulator cleaning & height adjustment,Minor,2,3,4,34,120,4,Yes,Corrective,In Progress,32.2,22.0,High,27.1
TSK-00049,Operating,AST-00049,Level Crossing Gate,COR-023,56.0,Multi-aspect LED signal bulb replacement & relay test,Moderate,2,5,3,30,120,9,Yes,Breakdown,Pending,35.2,89.2,Medium,62.2
TSK-00050,Operating,AST-00050,Point & Crossing,COR-010,362.4,Point machine lubrication & locking calibration,Moderate,5,3,4,33,240,7,Yes,Emergency,Pending,49.7,16.1,Medium,32.9
TSK-00051,Signal & Telecom,AST-00051,Axle Counter,COR-080,194.3,Axle counter digital sensor reset test,Major,3,3,3,21,60,4,No,Corrective,Pending,83.2,39.7,Low,61.5
TSK-00052,Operating,AST-00052,Signal - Multi Aspect,COR-040,313.7,OHE cantilever insulator cleaning & height adjustment,Critical,2,1,1,44,60,3,Yes,Preventive,Completed,52.6,66.0,Medium,59.3
TSK-00053,Signal & Telecom,AST-00053,Axle Counter,COR-031,45.0,"Track tamping, ballast packing & alignment check",Moderate,2,1,2,45,180,4,No,Corrective,Scheduled,51.2,60.9,Low,56.0
TSK-00054,Electrical,AST-00054,Level Crossing Gate,COR-081,134.1,Bridge expansion joint inspection & bolt tightening,Critical,4,5,2,17,360,12,No,Preventive,Completed,93.3,85.8,Medium,89.5
TSK-00055,Electrical,AST-00055,Signal - Multi Aspect,COR-060,190.9,OHE cantilever insulator cleaning & height adjustment,Minor,3,1,4,24,120,11,Yes,Preventive,Pending,60.7,33.6,High,47.2
TSK-00056,Engineering,AST-00056,Level Crossing Gate,COR-058,382.0,Point machine lubrication & locking calibration,Moderate,2,5,2,35,240,3,No,Emergency,Completed,79.3,60.9,Medium,70.1
TSK-00057,Signal & Telecom,AST-00057,Signal - Multi Aspect,COR-006,105.6,"Track tamping, ballast packing & alignment check",Moderate,4,1,2,39,60,5,Yes,Preventive,Pending,27.9,49.0,Medium,38.5
TSK-00058,Electrical,AST-00058,Bridge Span,COR-087,251.9,Point machine lubrication & locking calibration,Major,3,3,3,36,120,12,Yes,Preventive,Pending,97.4,78.6,Medium,88.0
TSK-00059,Signal & Telecom,AST-00059,Signal - Multi Aspect,COR-045,131.7,"Track tamping, ballast packing & alignment check",Moderate,4,5,4,22,120,8,No,Preventive,Completed,42.9,33.0,Low,38.0
TSK-00060,Engineering,AST-00060,Track Circuit,COR-083,282.3,Level crossing gate motor overhaul & interlock test,Moderate,1,5,1,24,180,4,Yes,Breakdown,Completed,66.6,72.9,High,69.8
TSK-00061,Signal & Telecom,AST-00061,OHE Catenary,COR-020,34.3,Multi-aspect LED signal bulb replacement & relay test,Major,1,5,5,26,120,4,No,Breakdown,Scheduled,40.7,74.2,High,57.5
TSK-00062,Signal & Telecom,AST-00062,Bridge Span,COR-021,77.6,Rail flaw ultrasonics check required,Minor,5,5,2,5,360,7,Yes,Breakdown,In Progress,70.9,47.4,High,59.2
TSK-00063,Electrical,AST-00063,Level Crossing Gate,COR-097,314.9,Multi-aspect LED signal bulb replacement & relay test,Critical,5,1,5,45,360,12,Yes,Breakdown,Completed,74.0,42.5,Medium,58.2
TSK-00064,Electrical,AST-00064,Level Crossing Gate,COR-100,161.6,OHE cantilever insulator cleaning & height adjustment,Critical,2,2,3,23,120,6,Yes,Corrective,Completed,80.9,95.0,High,88.0
TSK-00065,Engineering,AST-00065,Signal - Multi Aspect,COR-037,37.1,Axle counter digital sensor reset test,Minor,4,1,3,43,120,4,Yes,Preventive,Completed,30.7,88.4,High,59.6
TSK-00066,Engineering,AST-00066,Axle Counter,COR-054,24.3,Point machine lubrication & locking calibration,Major,2,5,3,23,240,5,Yes,Corrective,Pending,83.3,81.6,Medium,82.4
TSK-00067,Signal & Telecom,AST-00067,Axle Counter,COR-018,18.0,Axle counter digital sensor reset test,Major,4,3,2,30,60,12,No,Corrective,Completed,86.2,23.0,High,54.6
TSK-00068,Electrical,AST-00068,Point & Crossing,COR-028,351.0,OHE cantilever insulator cleaning & height adjustment,Moderate,5,5,3,11,240,3,No,Preventive,Pending,87.5,87.2,Medium,87.3
TSK-00069,Operating,AST-00069,OHE Catenary,COR-082,333.8,OHE cantilever insulator cleaning & height adjustment,Major,1,1,2,2,120,12,No,Emergency,Scheduled,35.6,18.1,Medium,26.9
TSK-00070,Operating,AST-00070,Interlocking Switch,COR-001,259.0,Point machine lubrication & locking calibration,Moderate,4,3,3,28,180,4,Yes,Emergency,In Progress,66.5,70.3,High,68.4
TSK-00071,Operating,AST-00071,Point & Crossing,COR-061,20.2,Rail flaw ultrasonics check required,Moderate,3,1,3,18,60,4,Yes,Corrective,Scheduled,74.4,76.5,Low,75.5
TSK-00072,Electrical,AST-00072,Signal - Multi Aspect,COR-018,20.5,OHE cantilever insulator cleaning & height adjustment,Critical,2,2,1,13,360,6,Yes,Breakdown,Scheduled,91.7,73.4,High,82.6
TSK-00073,Engineering,AST-00073,Level Crossing Gate,COR-038,86.3,Point machine lubrication & locking calibration,Major,1,4,2,4,60,3,No,Emergency,In Progress,60.5,16.0,Low,38.2
TSK-00074,Electrical,AST-00074,OHE Catenary,COR-046,362.4,Bridge expansion joint inspection & bolt tightening,Critical,3,4,5,33,360,5,Yes,Corrective,Completed,88.3,83.5,Medium,85.9
TSK-00075,Electrical,AST-00075,Bridge Span,COR-024,209.4,Rail flaw ultrasonics check required,Moderate,5,4,2,1,120,5,Yes,Emergency,Scheduled,62.1,81.0,High,71.5
TSK-00076,Electrical,AST-00076,Interlocking Switch,COR-014,35.5,Rail flaw ultrasonics check required,Minor,3,3,4,44,360,8,Yes,Corrective,Pending,48.2,16.6,Medium,32.4
TSK-00077,Engineering,AST-00077,Level Crossing Gate,COR-094,365.7,Bridge expansion joint inspection & bolt tightening,Critical,4,4,5,33,240,5,Yes,Emergency,In Progress,96.8,26.2,High,61.5
TSK-00078,Engineering,AST-00078,Track Circuit,COR-019,356.7,"Track tamping, ballast packing & alignment check",Minor,4,5,4,25,60,7,Yes,Emergency,In Progress,50.3,90.3,High,70.3
TSK-00079,Signal & Telecom,AST-00079,Point & Crossing,COR-087,190.1,Rail flaw ultrasonics check required,Minor,4,2,2,32,360,12,No,Preventive,Completed,96.3,71.6,Medium,83.9
TSK-00080,Signal & Telecom,AST-00080,Interlocking Switch,COR-015,12.8,Point machine lubrication & locking calibration,Minor,5,5,3,6,180,12,Yes,Breakdown,Scheduled,54.3,57.3,Medium,55.8
TSK-00081,Electrical,AST-00081,OHE Catenary,COR-089,385.1,Multi-aspect LED signal bulb replacement & relay test,Moderate,1,3,1,3,360,5,No,Preventive,In Progress,55.4,20.3,Medium,37.9
TSK-00082,Electrical,AST-00082,Axle Counter,COR-091,29.1,Multi-aspect LED signal bulb replacement & relay test,Moderate,3,3,1,30,120,10,No,Corrective,Scheduled,55.8,30.2,High,43.0
TSK-00083,Signal & Telecom,AST-00083,OHE Catenary,COR-031,332.4,Point machine lubrication & locking calibration,Minor,5,5,5,30,240,10,Yes,Emergency,In Progress,30.1,52.8,Medium,41.5
TSK-00084,Operating,AST-00084,Interlocking Switch,COR-092,302.5,"Track tamping, ballast packing & alignment check",Critical,4,5,4,45,60,11,No,Preventive,Pending,86.9,41.9,High,64.4
TSK-00085,Signal & Telecom,AST-00085,Axle Counter,COR-100,232.4,Level crossing gate motor overhaul & interlock test,Major,2,1,1,17,240,5,Yes,Corrective,Completed,35.0,73.6,Low,54.3
TSK-00086,Signal & Telecom,AST-00086,Track Circuit,COR-042,392.7,Axle counter digital sensor reset test,Minor,5,5,4,37,240,10,Yes,Emergency,Pending,59.5,35.9,High,47.7
TSK-00087,Electrical,AST-00087,Track Circuit,COR-079,225.0,Point machine lubrication & locking calibration,Major,2,3,3,19,180,10,Yes,Preventive,Completed,44.9,41.9,High,43.4
TSK-00088,Engineering,AST-00088,Point & Crossing,COR-011,21.0,"Track tamping, ballast packing & alignment check",Minor,5,1,2,40,360,4,No,Emergency,In Progress,80.0,94.8,Low,87.4
TSK-00089,Electrical,AST-00089,Interlocking Switch,COR-062,104.4,Bridge expansion joint inspection & bolt tightening,Moderate,4,2,3,9,240,9,Yes,Emergency,Scheduled,84.0,33.7,Medium,58.9
TSK-00090,Signal & Telecom,AST-00090,Level Crossing Gate,COR-044,255.6,Axle counter digital sensor reset test,Critical,3,2,2,8,60,6,Yes,Breakdown,In Progress,24.4,69.8,High,47.1
TSK-00091,Electrical,AST-00091,Signal - Multi Aspect,COR-031,197.0,"Track tamping, ballast packing & alignment check",Major,2,5,5,8,180,10,Yes,Preventive,Scheduled,76.4,64.7,Medium,70.6
TSK-00092,Electrical,AST-00092,Track Circuit,COR-074,303.4,OHE cantilever insulator cleaning & height adjustment,Major,2,5,3,2,120,11,No,Corrective,Completed,91.0,44.4,Low,67.7
TSK-00093,Engineering,AST-00093,Point & Crossing,COR-051,213.3,OHE cantilever insulator cleaning & height adjustment,Critical,2,1,4,34,60,10,No,Emergency,In Progress,74.8,37.3,Low,56.0
TSK-00094,Engineering,AST-00094,Point & Crossing,COR-056,58.0,Point machine lubrication & locking calibration,Moderate,3,5,2,10,180,9,Yes,Emergency,Completed,55.9,72.4,High,64.2
TSK-00095,Electrical,AST-00095,OHE Catenary,COR-071,122.6,"Track tamping, ballast packing & alignment check",Minor,4,3,5,23,180,10,Yes,Breakdown,In Progress,59.4,43.0,High,51.2
TSK-00096,Electrical,AST-00096,Axle Counter,COR-097,62.3,Point machine lubrication & locking calibration,Moderate,4,1,3,19,360,8,No,Preventive,Scheduled,61.4,27.7,Low,44.5
TSK-00097,Signal & Telecom,AST-00097,Level Crossing Gate,COR-078,375.3,Multi-aspect LED signal bulb replacement & relay test,Critical,5,2,1,35,360,5,No,Corrective,Scheduled,25.4,87.0,High,56.2
TSK-00098,Electrical,AST-00098,Level Crossing Gate,COR-061,343.0,Rail flaw ultrasonics check required,Moderate,1,1,1,34,240,3,Yes,Corrective,Pending,74.4,54.1,Low,64.2
TSK-00099,Engineering,AST-00099,OHE Catenary,COR-075,202.8,OHE cantilever insulator cleaning & height adjustment,Critical,5,1,1,43,180,8,Yes,Breakdown,In Progress,46.0,36.5,Low,41.2
TSK-00100,Engineering,AST-00100,OHE Catenary,COR-057,133.1,Point machine lubrication & locking calibration,Moderate,2,4,3,9,240,8,No,Emergency,Pending,58.0,51.9,Low,55.0
TSK-00101,Electrical,AST-00101,OHE Catenary,COR-085,202.0,Axle counter digital sensor reset test,Minor,2,2,3,26,180,11,No,Preventive,Scheduled,21.6,60.9,Medium,41.2
TSK-00102,Signal & Telecom,AST-00102,Level Crossing Gate,COR-032,118.6,Level crossing gate motor overhaul & interlock test,Critical,3,2,3,19,240,3,Yes,Preventive,Pending,66.8,91.8,Low,79.3
TSK-00103,Electrical,AST-00103,Interlocking Switch,COR-016,241.7,Bridge expansion joint inspection & bolt tightening,Minor,4,4,4,11,360,9,No,Corrective,Completed,28.5,82.7,High,55.6
TSK-00104,Operating,AST-00104,Axle Counter,COR-084,109.2,Level crossing gate motor overhaul & interlock test,Minor,2,2,3,29,120,8,No,Preventive,In Progress,50.3,25.2,High,37.8
TSK-00105,Engineering,AST-00105,OHE Catenary,COR-086,380.4,OHE cantilever insulator cleaning & height adjustment,Minor,2,4,1,4,360,7,Yes,Preventive,In Progress,78.4,79.7,Medium,79.1
TSK-00106,Operating,AST-00106,Track Circuit,COR-084,392.8,Bridge expansion joint inspection & bolt tightening,Moderate,4,5,1,5,240,5,Yes,Emergency,In Progress,53.3,31.8,Low,42.5
TSK-00107,Engineering,AST-00107,OHE Catenary,COR-023,176.7,Axle counter digital sensor reset test,Moderate,1,2,1,6,240,5,Yes,Breakdown,In Progress,51.2,23.9,Low,37.5
TSK-00108,Engineering,AST-00108,Interlocking Switch,COR-043,120.9,Axle counter digital sensor reset test,Minor,5,1,3,43,120,3,Yes,Preventive,In Progress,52.6,17.7,High,35.1
TSK-00109,Electrical,AST-00109,Signal - Multi Aspect,COR-021,307.6,Rail flaw ultrasonics check required,Moderate,2,5,4,11,360,11,No,Emergency,Pending,50.1,55.9,High,53.0
TSK-00110,Operating,AST-00110,Bridge Span,COR-066,139.1,Axle counter digital sensor reset test,Major,1,1,1,24,60,4,No,Breakdown,In Progress,23.3,49.0,Medium,36.1
TSK-00111,Operating,AST-00111,Interlocking Switch,COR-031,188.7,Level crossing gate motor overhaul & interlock test,Critical,3,4,2,11,60,12,Yes,Preventive,Pending,77.0,38.0,Low,57.5
TSK-00112,Engineering,AST-00112,Point & Crossing,COR-060,130.2,Axle counter digital sensor reset test,Minor,5,4,5,18,240,10,Yes,Emergency,Pending,28.4,60.5,High,44.5
TSK-00113,Operating,AST-00113,Track Circuit,COR-020,192.2,OHE cantilever insulator cleaning & height adjustment,Major,3,5,1,10,360,12,No,Preventive,Scheduled,26.2,92.0,Medium,59.1
TSK-00114,Operating,AST-00114,Signal - Multi Aspect,COR-068,296.2,Level crossing gate motor overhaul & interlock test,Critical,5,2,1,40,120,6,Yes,Corrective,Pending,47.4,21.9,High,34.6
TSK-00115,Operating,AST-00115,Axle Counter,COR-015,286.4,"Track tamping, ballast packing & alignment check",Moderate,4,5,1,14,360,5,Yes,Corrective,Scheduled,64.2,58.6,Medium,61.4
TSK-00116,Operating,AST-00116,Bridge Span,COR-073,26.1,Multi-aspect LED signal bulb replacement & relay test,Minor,3,4,1,43,180,3,Yes,Emergency,Completed,26.1,81.3,Low,53.7
TSK-00117,Engineering,AST-00117,Signal - Multi Aspect,COR-055,146.0,Axle counter digital sensor reset test,Major,1,3,2,38,360,11,Yes,Breakdown,Pending,53.2,40.7,Medium,47.0
TSK-00118,Operating,AST-00118,Track Circuit,COR-048,417.0,Level crossing gate motor overhaul & interlock test,Major,4,1,2,38,360,8,No,Corrective,Completed,70.4,26.5,Low,48.5
TSK-00119,Signal & Telecom,AST-00119,Bridge Span,COR-094,411.1,Level crossing gate motor overhaul & interlock test,Moderate,1,3,4,45,360,12,Yes,Corrective,Completed,87.9,63.7,High,75.8
TSK-00120,Electrical,AST-00120,Level Crossing Gate,COR-020,117.2,Rail flaw ultrasonics check required,Critical,1,4,5,30,360,9,No,Emergency,In Progress,88.8,57.3,Medium,73.0
TSK-00121,Engineering,AST-00121,OHE Catenary,COR-013,250.3,Multi-aspect LED signal bulb replacement & relay test,Major,1,5,3,30,60,4,Yes,Corrective,Completed,69.2,69.6,High,69.4
TSK-00122,Signal & Telecom,AST-00122,Point & Crossing,COR-065,417.3,OHE cantilever insulator cleaning & height adjustment,Moderate,5,2,5,19,120,3,Yes,Preventive,In Progress,36.7,85.3,High,61.0
TSK-00123,Operating,AST-00123,OHE Catenary,COR-039,117.0,Level crossing gate motor overhaul & interlock test,Critical,5,2,3,35,240,11,Yes,Breakdown,In Progress,68.3,51.4,High,59.8
TSK-00124,Electrical,AST-00124,Bridge Span,COR-090,176.0,Bridge expansion joint inspection & bolt tightening,Minor,4,2,5,8,240,8,Yes,Breakdown,Scheduled,77.0,39.8,Low,58.4
TSK-00125,Operating,AST-00125,Track Circuit,COR-008,237.1,Multi-aspect LED signal bulb replacement & relay test,Major,5,1,4,44,360,3,Yes,Breakdown,Pending,53.7,18.5,Medium,36.1
TSK-00126,Electrical,AST-00126,Level Crossing Gate,COR-012,225.9,Axle counter digital sensor reset test,Critical,1,1,5,20,240,5,Yes,Preventive,Pending,73.7,79.9,High,76.8
TSK-00127,Operating,AST-00127,OHE Catenary,COR-027,365.4,OHE cantilever insulator cleaning & height adjustment,Critical,1,3,4,27,180,6,Yes,Emergency,Completed,59.0,77.2,Medium,68.1
TSK-00128,Operating,AST-00128,OHE Catenary,COR-031,232.8,Bridge expansion joint inspection & bolt tightening,Moderate,4,3,5,45,120,6,Yes,Corrective,Completed,97.0,85.3,Low,91.2
TSK-00129,Operating,AST-00129,Level Crossing Gate,COR-013,337.6,Axle counter digital sensor reset test,Minor,3,3,3,6,120,10,No,Emergency,Completed,77.0,54.8,Medium,65.9
TSK-00130,Electrical,AST-00130,Point & Crossing,COR-071,392.7,OHE cantilever insulator cleaning & height adjustment,Moderate,4,1,5,20,60,12,Yes,Preventive,Scheduled,47.1,16.2,Medium,31.6
TSK-00131,Electrical,AST-00131,Level Crossing Gate,COR-033,321.1,Rail flaw ultrasonics check required,Moderate,4,2,2,27,180,10,No,Breakdown,In Progress,84.0,74.4,Low,79.2
TSK-00132,Engineering,AST-00132,Track Circuit,COR-068,16.1,"Track tamping, ballast packing & alignment check",Moderate,1,3,5,7,240,5,Yes,Breakdown,Scheduled,27.6,85.5,High,56.5
TSK-00133,Operating,AST-00133,OHE Catenary,COR-048,27.3,"Track tamping, ballast packing & alignment check",Major,5,5,4,21,180,8,No,Emergency,Completed,29.8,71.1,Medium,50.4
TSK-00134,Engineering,AST-00134,Point & Crossing,COR-068,303.9,Rail flaw ultrasonics check required,Major,3,3,3,3,360,7,No,Breakdown,Completed,63.4,79.8,High,71.6
TSK-00135,Signal & Telecom,AST-00135,Track Circuit,COR-025,261.1,Bridge expansion joint inspection & bolt tightening,Minor,3,5,5,45,240,6,Yes,Breakdown,In Progress,82.9,45.9,High,64.4
TSK-00136,Signal & Telecom,AST-00136,OHE Catenary,COR-039,287.9,Rail flaw ultrasonics check required,Minor,1,5,2,27,60,4,Yes,Emergency,Scheduled,83.7,89.3,High,86.5
TSK-00137,Engineering,AST-00137,Track Circuit,COR-064,355.3,Point machine lubrication & locking calibration,Major,3,3,1,4,60,8,Yes,Corrective,Pending,38.8,56.3,Low,47.5
TSK-00138,Operating,AST-00138,OHE Catenary,COR-035,21.5,Point machine lubrication & locking calibration,Major,3,3,3,42,240,10,No,Preventive,In Progress,26.0,39.6,High,32.8
TSK-00139,Signal & Telecom,AST-00139,OHE Catenary,COR-097,345.0,Bridge expansion joint inspection & bolt tightening,Moderate,1,1,3,19,180,7,Yes,Breakdown,Scheduled,51.9,18.6,Medium,35.2
