corridor_id,corridor_name,zone,division,start_station_code,start_station_name,end_station_code,end_station_name,distance_km,track_type,electrified,traffic_density,corridor_criticality,maximum_speed_kmph,operational_status
C00059,MIB-NIR Section,South East Central,Nagpur,MIB,Manmad In Yard,NIR,Nawapur,245.6,Single Line,No,Medium,2,93,Active
C00060,CPH-KHS Section,South East Central,Bilaspur,CPH,Champa Junction,KHS,Kharsia,45.3,Double Line,Yes,High,3,101,Active
C00061,MAS-AJJ Section,Southern,Chennai,MAS,MGR Chennai Central,AJJ,Arakkonam Junction,68.5,Multiple Line,Yes,Medium,2,130,Active
C00062,CBE-PGT Section,Southern,Palakkad,CBE,Coimbatore Junction,PGT,Palakkad Junction,56.2,Double Line,Yes,Very High,3,124,Active
C00063,MDU-TEN Section,Southern,Madurai,MDU,Madurai Junction,TEN,Tirunelveli Junction,157.0,Single Line,Yes,Low,2,100,Active
C00064,TPJ-VM Section,Southern,Tiruchchirappalli,TPJ,Tiruchchirappalli Junction,VM,Villupuram Junction,178.4,Double Line,Yes,High,3,130,Active
C00065,TVC-QLN Section,Southern,Thiruvananthapuram,TVC,Thiruvananthapuram Central,QLN,Kollam Junction,65.1,Double Line,Yes,Medium,3,116,Active
C00066,SA-ED Section,Southern,Salem,SA,Salem Junction,ED,Erode Junction,59.8,Multiple Line,Yes,Medium,1,141,Active
C00067,SC-KZJ Section,South Central,Secunderabad,SC,Secunderabad Junction,KZJ,Kazipet Junction,132.5,Double Line,No,Low,3,112,Active
C00068,BZA-RJY Section,South Central,Vijayawada,BZA,Vijayawada Junction,RJY,Rajahmundry,149.2,Multiple Line,No,Medium,4,140,Active
C00069,TPTY-GTL Section,South Central,Guntakal,TPTY,Tirupati,GTL,Guntakal Junction,309.8,Single Line,Yes,Medium,3,101,Active
C00070,NED-PAU Section,South Central,Nanded,NED,Hazur Sahib Nanded,PAU,Purna Junction,30.6,Single Line,Yes,High,2,98,Active
C00071,GNT-TEL Section,South Central,Guntur,GNT,Guntur Junction,TEL,Tenali Junction,25.4,Double Line,Yes,Medium,3,123,Active
C00072,BIDR-SC Section,South Central,Secunderabad,BIDR,Bidar,SC,Secunderabad Junction,110.1,Single Line,Yes,Medium,3,88,Active
C00073,SBC-MYS Section,South Western,Bangalore,SBC,KSR Bengaluru,MYS,Mysuru Junction,138.5,Double Line,Yes,High,3,128,Active
C00074,UBL-DWR Section,South Western,Hubballi,UBL,SSS Hubballi Junction,DWR,Dharwad,20.4,Double Line,Yes,Medium,1,113,Active
C00075,MYS-ASK Section,South Western,Mysuru,MYS,Mysuru Junction,ASK,Arsikere Junction,147.2,Single Line,Yes,Medium,1,86,Active
C00076,UBL-BGM Section,South Western,Hubballi,UBL,SSS Hubballi Junction,BGM,Belagavi,142.0,Single Line,No,High,3,98,Active
C00077,SBC-TK Section,South Western,Bangalore,SBC,KSR Bengaluru,TK,Tumakuru,69.1,Double Line,Yes,High,4,116,Active
C00078,UBL-HPT Section,South Western,Hubballi,UBL,SSS Hubballi Junction,HPT,Hosapete Junction,143.6,Single Line,Yes,High,2,95,Under Maintenance
C00079,CSMT-KYN Section,Central,Mumbai,CSMT,Chhatrapati Shivaji Maharaj Terminus,KYN,Kalyan Junction,54.2,Multiple Line,No,Low,2,115,Active
C00080,PUNE-DD Section,Central,Pune,PUNE,Pune Junction,DD,Daund Junction,75.5,Double Line,Yes,Medium,2,111,Active
C00081,NGP-WR Section,Central,Nagpur,NGP,Nagpur Junction,WR,Wardha Junction,78.9,Double Line,Yes,Medium,2,109,Active
C00082,BSL-AK Section,Central,Bhusawal,BSL,Bhusawal Junction,AK,Akola Junction,139.6,Multiple Line,Yes,High,4,146,Under Maintenance
C00083,SUR-KWV Section,Central,Solapur,SUR,Solapur,KWV,Kurduwadi Junction,108.4,Single Line,Yes,Medium,3,99,Active
C00084,ET-BSL Section,Central,Bhusawal,ET,Itarsi Junction,BSL,Bhusawal Junction,306.8,Double Line,Yes,Low,3,113,Active
C00085,KTT-BTE Section,West Central,Kota,KTT,Kota Junction,BTE,Bharatpur Junction,242.5,Double Line,Yes,Medium,3,118,Active
C00086,JBP-ET Section,West Central,Jabalpur,JBP,Jabalpur Junction,ET,Itarsi Junction,244.8,Double Line,Yes,Medium,3,111,Active
C00087,BPL-UJN Section,West Central,Bhopal,BPL,Bhopal Junction,UJN,Ujjain Junction,183.2,Single Line,Yes,Low,2,94,Active
C00088,KTT-SWM Section,West Central,Kota,KTT,Kota Junction,SWM,Sawai Madhopur Junction,107.6,Double Line,Yes,High,4,122,Active
C00089,BPL-ET Section,West Central,Bhopal,BPL,Bhopal Junction,ET,Itarsi Junction,92.1,Multiple Line,Yes,High,2,141,Active
C00090,JBP-KTE Section,West Central,Jabalpur,JBP,Jabalpur Junction,KTE,Katni Junction,91.4,Double Line,No,Very High,3,113,Active
C00091,BVI-ST Section,Western,Mumbai,BVI,Borivali,ST,Surat,230.5,Double Line,No,Low,4,130,Active
C00092,ADI-BRC Section,Western,Vadodara,ADI,Ahmedabad Junction,BRC,Vadodara Junction,99.8,Multiple Line,Yes,Medium,4,138,Active
C00093,RJT-JAM Section,Western,Rajkot,RJT,Rajkot Junction,JAM,Jamnagar,84.2,Single Line,Yes,High,4,96,Active
C00094,BVC-MHV Section,Western,Bhavnagar,BVC,Bhavnagar Terminus,MHV,Mahuva Junction,191.3,Single Line,No,High,3,86,Active
C00095,RTM-UJN Section,Western,Ratlam,RTM,Ratlam Junction,UJN,Ujjain Junction,96.4,Double Line,Yes,High,3,128,Active
C00096,AII-JP Section,Western,Ajmer,AII,Ajmer Junction,JP,Jaipur Junction,134.7,Double Line,Yes,Very High,3,109,Active
C00097,KAVI-NOAP Section,Metro,Metro Railway Kolkata Division,KAVI,Kavi Subhash,NOAP,Noapara,31.4,Double Line,Yes,High,3,104,Active
C00098,NOAP-DAWN Section,Metro,Metro Railway Kolkata Division,NOAP,Noapara,DAWN,Dakshineswar,4.1,Double Line,Yes,Very High,3,106,Active
C00099,JOKA-ESPL Section,Metro,Metro Railway Kolkata Division,JOKA,Joka,ESPL,Esplanade,14.2,Double Line,Yes,High,2,111,Active
C00100,HWHB-SDSD Section,Metro,Metro Railway Kolkata Division,HWHB,Howrah Maidan,SDSD,Sealdah,9.4,Double Line,Yes,Medium,3,108,Active
