task_id,asset_id,asset_type,corridor_id,location_km,signal_type,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,possession_required,status
SMMS000022,AST005344,Optical Fiber,C00062,12.7,OFC Link,Cable fault,Critical,2,5,5,2025-03-20,2025-03-24,0,166,4,Preventive,Yes,Completed
SMMS000023,AST005691,Axle Counter,C00078,91.7,Axle Counter,Axle counter fault,Critical,5,4,4,2025-06-30,2025-07-05,0,164,2,Corrective,Yes,Completed
SMMS000024,AST006953,Axle Counter,C00062,42.1,Axle Counter,Axle counter fault,Medium,2,2,2,2025-05-22,2025-06-13,18,73,2,Preventive,Yes,Open
SMMS000025,AST005652,Track Circuit,C00009,15.3,Track Circuit,Track circuit fault,Low,3,2,1,2025-06-23,2025-07-22,0,112,1,Preventive,Yes,Open
SMMS000026,AST007579,Track Circuit,C00045,93.7,Track Circuit,Track circuit fault,Medium,3,3,1,2025-05-22,2025-06-09,0,193,3,Preventive,Yes,Completed
SMMS000027,AST008373,Level Crossing Signal,C00084,10.0,LC Gate Signal,Signal failure,High,4,4,2,2025-03-08,2025-03-13,110,86,3,Corrective,Yes,Open
SMMS000028,AST005679,Interlocking,C00078,61.2,Route Relay Interlocking,Interlocking inspection,Medium,4,3,2,2025-06-17,2025-07-01,0,266,3,Inspection,Yes,Open
SMMS000029,AST005396,Optical Fiber,C00060,32.8,OFC Link,Cable fault,Low,1,4,2,2025-06-13,2025-07-17,0,97,2,Inspection,No,Scheduled
SMMS000030,AST007434,Track Circuit,C00012,60.0,Track Circuit,Track circuit fault,Medium,4,3,2,2025-03-08,2025-03-19,104,191,3,Corrective,No,Open
SMMS000031,AST007043,Axle Counter,C00002,46.8,Axle Counter,Axle counter fault,High,5,3,1,2025-06-23,2025-07-02,0,83,2,Corrective,Yes,Open
SMMS000032,AST006690,Point Machine,C00031,3.3,Electric Point Machine,Point machine fault,Low,2,2,2,2025-06-21,2025-07-23,0,131,4,Preventive,No,Completed
SMMS000033,AST005294,Level Crossing Signal,C00001,125.1,LC Gate Signal,Signal failure,Medium,3,4,2,2025-06-22,2025-07-07,0,186,2,Preventive,No,Scheduled
SMMS000034,AST008463,Point Machine,C00069,215.2,Electric Point Machine,Point machine fault,High,2,3,4,2025-06-14,2025-06-24,0,121,5,Corrective,Yes,Completed
SMMS000035,AST007903,Optical Fiber,C00063,60.5,OFC Link,Cable fault,Medium,3,2,1,2025-06-29,2025-07-15,0,167,2,Corrective,No,In Progress
SMMS000036,AST006445,Relay,C00041,21.5,Relay Interlocking,Relay degradation,Medium,3,3,2,2025-06-17,2025-07-03,0,102,3,Corrective,Yes,In Progress
SMMS000037,AST008089,Track Circuit,C00014,7.5,Track Circuit,Track circuit fault,Low,2,2,1,2025-06-18,2025-07-28,0,131,2,Corrective,No,Scheduled
SMMS000038,AST006584,Track Circuit,C00004,72.2,Track Circuit,Track circuit fault,Medium,4,2,1,2025-06-25,2025-07-13,0,125,3,Corrective,Yes,Completed
SMMS000039,AST005437,Telecom Cable,C00065,29.2,Quad Cable,Cable fault,Medium,3,2,2,2025-06-27,2025-07-12,0,177,3,Preventive,No,Open
SMMS000040,AST005643,Optical Fiber,C00030,74.2,OFC Link,Cable fault,Medium,3,1,1,2025-06-27,2025-07-18,0,99,1,Corrective,Yes,Scheduled
SMMS000041,AST006087,Signal,C00027,48.9,Colour Light Signal,Signal lamp/equipment replacement,Medium,2,3,2,2025-04-08,2025-04-25,67,53,2,Corrective,No,In Progress
SMMS000042,AST007898,Signal,C00020,56.7,Colour Light Signal,Signal failure,Low,2,2,2,2025-04-22,2025-05-17,45,159,6,Preventive,No,Scheduled
SMMS000043,AST007741,Axle Counter,C00027,8.9,Axle Counter,Axle counter fault,High,1,4,3,2025-06-20,2025-06-27,4,105,3,Preventive,No,Open
SMMS000044,AST005924,Axle Counter,C00032,17.1,Axle Counter,Axle counter fault,High,3,4,1,2025-06-18,2025-06-28,3,49,2,Preventive,No,Scheduled
SMMS000045,AST006224,Interlocking,C00007,58.4,Route Relay Interlocking,Interlocking inspection,Medium,2,2,1,2025-06-03,2025-06-15,16,173,4,Inspection,No,Open
SMMS000046,AST005323,Optical Fiber,C00030,119.0,OFC Link,Cable fault,High,3,4,3,2025-06-24,2025-07-03,0,137,4,Corrective,Yes,Scheduled
SMMS000047,AST005418,Axle Counter,C00002,94.1,Axle Counter,Axle counter fault,Medium,3,1,1,2025-06-28,2025-07-19,0,95,3,Preventive,Yes,Scheduled
SMMS000048,AST007232,Telecom Cable,C00025,161.3,Quad Cable,Cable fault,Medium,2,3,2,2025-06-28,2025-07-22,0,168,3,Preventive,No,Completed
SMMS000049,AST006954,Optical Fiber,C00077,18.9,OFC Link,Cable fault,High,4,4,4,2025-03-29,2025-04-10,82,121,2,Preventive,No,Open
SMMS000050,AST007432,Signal,C00009,25.2,Colour Light Signal,Signal failure,Low,4,1,2,2025-04-06,2025-05-18,0,139,4,Inspection,Yes,Completed
SMMS000051,AST006995,Telecom Cable,C00060,11.6,Quad Cable,Cable fault,Low,1,2,1,2025-04-21,2025-05-25,0,185,4,Preventive,No,Completed
SMMS000052,AST006486,Point Machine,C00054,33.4,Electric Point Machine,Point machine fault,High,3,4,2,2025-05-19,2025-05-27,35,196,4,Preventive,Yes,Open
SMMS000053,AST006456,Telecom Cable,C00020,57.7,Quad Cable,Cable fault,High,4,5,3,2025-06-05,2025-06-13,18,193,4,Corrective,No,Open
SMMS000054,AST008489,Telecom Cable,C00023,37.2,Quad Cable,Cable fault,Low,3,2,3,2025-05-22,2025-07-05,0,217,5,Preventive,Yes,Completed
SMMS000055,AST008282,Signal,C00003,28.7,Colour Light Signal,Signal lamp/equipment replacement,Low,2,1,1,2025-05-20,2025-07-08,0,113,3,Corrective,Yes,Open
SMMS000056,AST005940,Axle Counter,C00054,37.4,Axle Counter,Axle counter fault,Medium,2,3,2,2025-05-31,2025-06-22,0,94,4,Preventive,No,Completed
SMMS000057,AST005432,Signal,C00065,62.4,Colour Light Signal,Signal lamp/equipment replacement,Low,1,2,2,2025-05-23,2025-06-30,1,54,4,Inspection,No,Open
SMMS000058,AST007485,Signal,C00064,78.4,Colour Light Signal,Signal failure,High,4,2,3,2025-05-29,2025-06-04,27,76,3,Corrective,Yes,Deferred
SMMS000059,AST005728,Axle Counter,C00097,19.4,Axle Counter,Axle counter fault,Critical,4,4,5,2025-06-27,2025-07-01,0,78,2,Corrective,No,Open
SMMS000060,AST006508,Interlocking,C00036,42.6,Route Relay Interlocking,Interlocking inspection,High,3,3,4,2025-06-17,2025-06-28,3,235,3,Inspection,Yes,In Progress
SMMS000061,AST007700,Track Circuit,C00007,168.5,Track Circuit,Track circuit fault,High,2,4,3,2025-06-26,2025-07-04,0,173,3,Preventive,No,Open
SMMS000062,AST006260,Telecom Cable,C00008,10.4,Quad Cable,Cable fault,Medium,2,2,2,2025-05-05,2025-05-24,38,236,4,Corrective,Yes,In Progress
SMMS000063,AST005987,Relay,C00094,64.5,Relay Interlocking,Relay degradation,Critical,4,3,3,2025-05-21,2025-05-24,38,87,3,Corrective,Yes,Scheduled
SMMS000064,AST007658,Level Crossing Signal,C00098,0.1,LC Gate Signal,Signal failure,High,3,4,5,2025-05-21,2025-05-31,31,107,6,Corrective,Yes,Deferred
SMMS000065,AST005751,Level Crossing Signal,C00050,50.1,LC Gate Signal,Signal failure,Low,2,2,2,2025-06-08,2025-07-16,0,117,2,Preventive,No,Open
SMMS000066,AST007374,Signal,C00082,96.8,Colour Light Signal,Signal failure,Medium,5,2,2,2025-06-22,2025-07-07,0,109,3,Corrective,No,Scheduled
SMMS000067,AST006065,Signal,C00003,61.2,Colour Light Signal,Signal failure,Medium,3,2,2,2025-04-01,2025-04-17,75,137,3,Corrective,Yes,Open
SMMS000068,AST005805,Point Machine,C00015,99.2,Electric Point Machine,Point machine fault,Low,2,2,2,2025-06-10,2025-07-20,0,188,5,Preventive,Yes,Completed
SMMS000069,AST006175,Level Crossing Signal,C00095,18.8,LC Gate Signal,Signal failure,Medium,3,1,2,2025-05-28,2025-06-13,18,112,4,Corrective,No,Open
SMMS000070,AST008596,Interlocking,C00089,12.3,Route Relay Interlocking,Interlocking inspection,Low,1,2,2,2025-05-21,2025-06-25,0,211,5,Inspection,No,Completed
SMMS000071,AST007132,Point Machine,C00004,60.0,Electric Point Machine,Point machine fault,High,3,4,3,2025-06-23,2025-07-04,0,140,2,Corrective,No,Open
SMMS000072,AST005937,Point Machine,C00015,182.2,Electric Point Machine,Point machine fault,Low,3,2,2,2025-06-30,2025-08-11,0,155,4,Corrective,No,Deferred
SMMS000073,AST006616,Axle Counter,C00051,30.7,Axle Counter,Axle counter fault,Critical,4,4,4,2025-06-01,2025-06-03,28,123,2,Preventive,Yes,Scheduled
SMMS000074,AST007316,Optical Fiber,C00081,0.1,OFC Link,Cable fault,High,3,4,3,2025-03-15,2025-03-22,0,112,2,Corrective,No,Completed
SMMS000075,AST007603,Level Crossing Signal,C00025,311.6,LC Gate Signal,Signal failure,Low,3,1,2,2025-06-19,2025-07-21,0,126,3,Preventive,Yes,Completed
SMMS000076,AST008453,Telecom Cable,C00014,69.2,Quad Cable,Cable fault,Low,2,1,1,2025-06-18,2025-07-21,0,193,4,Inspection,Yes,Completed
SMMS000077,AST007674,Interlocking,C00002,19.5,Route Relay Interlocking,Interlocking inspection,Medium,3,3,1,2025-06-20,2025-07-03,0,139,2,Inspection,No,Scheduled
SMMS000078,AST008182,Level Crossing Signal,C00048,33.1,LC Gate Signal,Signal failure,Medium,3,3,2,2025-06-05,2025-06-24,7,97,1,Preventive,Yes,Open
SMMS000079,AST008025,Signal,C00050,36.9,Colour Light Signal,Signal failure,High,3,3,1,2025-06-19,2025-06-27,0,115,3,Preventive,Yes,Completed
SMMS000080,AST005604,Level Crossing Signal,C00063,77.7,LC Gate Signal,Signal failure,Medium,3,2,3,2025-03-30,2025-04-13,79,125,4,Corrective,Yes,Open
SMMS000081,AST006553,Relay,C00055,108.3,Relay Interlocking,Relay degradation,Critical,5,4,2,2025-06-17,2025-06-20,0,101,2,Corrective,No,Completed
SMMS000082,AST008163,Optical Fiber,C00012,65.1,OFC Link,Cable fault,High,4,4,3,2025-03-19,2025-03-31,0,157,5,Preventive,No,Completed
SMMS000083,AST005747,Point Machine,C00045,48.0,Electric Point Machine,Point machine fault,Low,3,2,1,2025-06-22,2025-08-01,0,197,4,Inspection,No,Open
SMMS000084,AST005793,Level Crossing Signal,C00025,174.3,LC Gate Signal,Signal failure,Low,3,2,2,2025-06-01,2025-07-08,0,125,1,Preventive,No,Completed
SMMS000085,AST005449,Relay,C00071,5.8,Relay Interlocking,Relay degradation,Medium,2,3,1,2025-06-30,2025-07-13,0,106,2,Corrective,No,Open
SMMS000086,AST005868,Point Machine,C00011,220.1,Electric Point Machine,Point machine fault,Medium,5,3,1,2025-05-06,2025-05-26,36,71,2,Preventive,No,Open
SMMS000087,AST006596,Level Crossing Signal,C00097,11.9,LC Gate Signal,Signal failure,Low,3,1,2,2025-05-30,2025-06-24,7,91,2,Inspection,Yes,Scheduled
SMMS000088,AST007053,Signal,C00066,39.6,Colour Light Signal,Signal failure,Medium,3,3,2,2025-06-26,2025-07-10,0,137,4,Corrective,Yes,Open
SMMS000089,AST006331,Telecom Cable,C00002,40.2,Quad Cable,Cable fault,Medium,2,3,2,2025-05-24,2025-06-11,20,203,3,Preventive,No,Scheduled
SMMS000090,AST005520,Telecom Cable,C00015,105.8,Quad Cable,Cable fault,Medium,2,4,2,2025-06-23,2025-07-08,0,157,5,Preventive,No,Completed
SMMS000091,AST008320,Optical Fiber,C00093,32.9,OFC Link,Cable fault,Low,2,2,2,2025-06-04,2025-07-10,0,88,3,Inspection,Yes,Completed
SMMS000092,AST008535,Interlocking,C00065,16.4,Route Relay Interlocking,Interlocking inspection,Medium,2,2,3,2025-06-19,2025-07-09,0,164,3,Inspection,No,Completed
SMMS000093,AST007907,Optical Fiber,C00011,241.3,OFC Link,Cable fault,Low,3,2,2,2025-06-20,2025-07-24,0,84,3,Inspection,No,Open
SMMS000094,AST007835,Optical Fiber,C00059,30.1,OFC Link,Cable fault,Low,3,1,1,2025-03-15,2025-04-15,77,95,3,Corrective,Yes,Open
SMMS000095,AST007329,Axle Counter,C00016,20.4,Axle Counter,Axle counter fault,Low,4,2,1,2025-06-14,2025-07-23,0,70,3,Corrective,Yes,Open
SMMS000096,AST007262,Relay,C00058,9.0,Relay Interlocking,Relay degradation,Medium,3,3,1,2025-05-24,2025-06-08,23,109,6,Preventive,Yes,Scheduled
SMMS000097,AST006532,Level Crossing Signal,C00081,16.0,LC Gate Signal,Signal failure,Medium,3,2,4,2025-06-19,2025-07-10,0,156,3,Preventive,Yes,Scheduled
SMMS000098,AST007897,Optical Fiber,C00045,147.7,OFC Link,Cable fault,Critical,5,4,3,2025-05-25,2025-05-29,33,162,3,Preventive,No,Open
SMMS000099,AST005985,Track Circuit,C00071,5.8,Track Circuit,Track circuit fault,Medium,3,2,2,2025-05-28,2025-06-15,16,135,1,Preventive,Yes,Scheduled
SMMS000100,AST006581,Axle Counter,C00030,1.8,Axle Counter,Axle counter fault,Medium,2,1,2,2025-06-17,2025-07-03,0,138,3,Preventive,Yes,Open
SMMS000101,AST007215,Level Crossing Signal,C00077,15.7,LC Gate Signal,Signal failure,High,4,3,3,2025-06-18,2025-06-25,0,69,2,Corrective,Yes,Completed
SMMS000102,AST006382,Interlocking,C00026,148.5,Route Relay Interlocking,Interlocking inspection,Low,4,2,1,2025-06-26,2025-08-11,0,187,2,Inspection,No,Open
SMMS000103,AST007604,Optical Fiber,C00025,383.3,OFC Link,Cable fault,Medium,3,4,2,2025-04-30,2025-05-16,46,179,4,Corrective,Yes,In Progress
SMMS000104,AST005711,Axle Counter,C00028,67.4,Axle Counter,Axle counter fault,Low,2,2,2,2025-06-27,2025-07-21,0,107,4,Preventive,No,Open
SMMS000105,AST006867,Track Circuit,C00068,120.5,Track Circuit,Track circuit fault,Critical,4,3,4,2025-06-15,2025-06-17,14,115,2,Corrective,Yes,Open
SMMS000106,AST006857,Level Crossing Signal,C00027,26.5,LC Gate Signal,Signal failure,Low,2,2,1,2025-06-16,2025-07-22,0,70,2,Inspection,No,In Progress
SMMS000107,AST006062,Relay,C00023,8.7,Relay Interlocking,Relay degradation,Low,4,1,1,2025-06-18,2025-07-27,0,145,3,Inspection,No,Completed
SMMS000108,AST005476,Axle Counter,C00039,10.2,Axle Counter,Axle counter fault,Low,2,2,1,2025-05-26,2025-06-19,12,51,3,Preventive,No,Open
SMMS000109,AST005655,Optical Fiber,C00044,52.9,OFC Link,Cable fault,High,4,4,2,2025-06-01,2025-06-10,21,100,3,Corrective,Yes,Scheduled
SMMS000110,AST005683,Track Circuit,C00082,12.2,Track Circuit,Track circuit fault,High,3,3,4,2025-05-22,2025-05-27,35,139,3,Preventive,Yes,Open
SMMS000111,AST006133,Axle Counter,C00057,36.4,Axle Counter,Axle counter fault,Medium,2,2,2,2025-06-26,2025-07-19,0,168,3,Corrective,Yes,Completed
SMMS000112,AST005763,Telecom Cable,C00038,199.4,Quad Cable,Cable fault,Medium,4,4,2,2025-06-13,2025-06-24,7,114,2,Preventive,No,Open
SMMS000113,AST006477,Relay,C00032,10.0,Relay Interlocking,Relay degradation,Low,2,1,1,2025-05-29,2025-07-16,0,146,2,Corrective,Yes,Scheduled
SMMS000114,AST006578,Signal,C00047,61.3,Colour Light Signal,Signal lamp/equipment replacement,High,4,5,4,2025-06-22,2025-06-29,2,101,3,Preventive,Yes,Open
SMMS000115,AST005923,Point Machine,C00071,5.1,Electric Point Machine,Point machine fault,High,3,3,2,2025-06-21,2025-06-29,2,126,5,Corrective,No,Scheduled
SMMS000116,AST005781,Relay,C00042,43.9,Relay Interlocking,Relay degradation,Low,2,1,1,2025-06-19,2025-07-22,0,146,4,Preventive,No,Completed
SMMS000117,AST007358,Track Circuit,C00015,116.9,Track Circuit,Track circuit fault,Medium,2,2,2,2025-03-08,2025-03-24,0,142,4,Preventive,No,Completed
SMMS000118,AST008544,Optical Fiber,C00038,103.2,OFC Link,Cable fault,Low,2,2,1,2025-06-28,2025-07-29,0,156,2,Inspection,No,Scheduled
SMMS000119,AST006033,Track Circuit,C00006,5.3,Track Circuit,Track circuit fault,Critical,3,4,4,2025-06-25,2025-06-27,0,185,4,Corrective,Yes,Completed
SMMS000120,AST005837,Optical Fiber,C00013,105.9,OFC Link,Cable fault,Low,2,1,1,2025-05-27,2025-07-02,0,87,2,Inspection,Yes,Open
SMMS000121,AST005432,Signal,C00065,62.4,Colour Light Signal,Signal lamp/equipment replacement,Medium,2,3,2,2025-05-27,2025-06-14,0,85,3,Corrective,Yes,Completed
SMMS000122,AST005779,Signal,C00100,9.1,Colour Light Signal,Signal lamp/equipment replacement,Medium,3,3,2,2025-06-11,2025-07-01,0,62,2,Corrective,No,Open
SMMS000123,AST007734,Axle Counter,C00086,157.6,Axle Counter,Axle counter fault,Medium,2,3,3,2025-06-27,2025-07-18,0,86,4,Preventive,Yes,Open
SMMS000124,AST006032,Signal,C00087,47.3,Colour Light Signal,Signal failure,Critical,3,4,4,2025-06-06,2025-06-09,22,87,2,Corrective,No,Open
SMMS000125,AST008479,Signal,C00093,5.5,Colour Light Signal,Signal failure,High,4,3,4,2025-05-27,2025-06-02,29,90,4,Corrective,Yes,In Progress
SMMS000126,AST008034,Relay,C00095,63.8,Relay Interlocking,Relay degradation,High,3,4,3,2025-05-09,2025-05-18,44,76,2,Corrective,Yes,In Progress
SMMS000127,AST006521,Optical Fiber,C00097,25.1,OFC Link,Cable fault,High,4,3,2,2025-03-15,2025-03-24,99,128,5,Corrective,Yes,Open
SMMS000128,AST005713,Axle Counter,C00045,123.3,Axle Counter,Axle counter fault,Low,2,2,2,2025-04-24,2025-06-07,24,96,3,Corrective,Yes,Deferred
SMMS000129,AST005443,Point Machine,C00084,186.5,Electric Point Machine,Point machine fault,Low,3,2,2,2025-05-28,2025-06-27,4,161,3,Corrective,Yes,Scheduled
SMMS000130,AST005329,Telecom Cable,C00089,56.2,Quad Cable,Cable fault,High,3,4,2,2025-06-25,2025-07-05,0,159,4,Preventive,Yes,Completed
SMMS000131,AST008596,Interlocking,C00089,12.3,Route Relay Interlocking,Interlocking inspection,High,3,4,3,2025-03-19,2025-03-29,94,185,3,Inspection,No,Scheduled
SMMS000132,AST006965,Telecom Cable,C00071,13.9,Quad Cable,Cable fault,Low,2,1,2,2025-06-24,2025-07-25,0,155,3,Corrective,Yes,Completed
SMMS000133,AST007681,Relay,C00078,59.6,Relay Interlocking,Relay degradation,Critical,2,3,4,2025-06-18,2025-06-21,10,83,3,Preventive,No,Open
SMMS000134,AST008542,Relay,C00092,56.0,Relay Interlocking,Relay degradation,Low,4,2,2,2025-06-29,2025-08-12,0,62,4,Corrective,No,Completed
SMMS000135,AST006168,Relay,C00002,54.3,Relay Interlocking,Relay degradation,Low,3,1,1,2025-06-20,2025-07-30,0,82,2,Corrective,Yes,Open
SMMS000136,AST005325,Interlocking,C00025,143.6,Route Relay Interlocking,Interlocking inspection,Medium,2,3,2,2025-06-23,2025-07-13,0,210,3,Inspection,No,Completed
SMMS000137,AST005330,Track Circuit,C00014,33.8,Track Circuit,Track circuit fault,Low,3,2,1,2025-06-30,2025-07-29,0,108,3,Preventive,No,In Progress
SMMS000138,AST008605,Relay,C00099,5.1,Relay Interlocking,Relay degradation,Medium,4,3,2,2025-05-22,2025-06-10,21,87,4,Preventive,Yes,Scheduled
SMMS000139,AST007353,Track Circuit,C00088,79.6,Track Circuit,Track circuit fault,Medium,3,3,2,2025-06-17,2025-07-06,0,133,3,Preventive,No,In Progress
SMMS000140,AST005720,Interlocking,C00083,28.4,Route Relay Interlocking,Interlocking inspection,Medium,2,2,1,2025-05-26,2025-06-11,20,190,5,Inspection,Yes,Open
SMMS000141,AST005637,Telecom Cable,C00084,30.8,Quad Cable,Cable fault,Medium,4,3,1,2025-06-15,2025-06-30,1,115,4,Preventive,No,In Progress
SMMS000142,AST006745,Telecom Cable,C00051,28.8,Quad Cable,Cable fault,Medium,2,2,1,2025-05-27,2025-06-17,14,135,5,Preventive,Yes,Open
SMMS000143,AST007147,Signal,C00083,83.5,Colour Light Signal,Signal failure,Medium,2,3,2,2025-06-29,2025-07-22,0,115,2,Corrective,No,Scheduled
SMMS000144,AST006331,Telecom Cable,C00002,40.2,Quad Cable,Cable fault,Critical,3,4,3,2025-06-25,2025-06-28,3,216,4,Corrective,No,Open
SMMS000145,AST007547,Point Machine,C00011,84.9,Electric Point Machine,Point machine fault,Medium,3,3,1,2025-05-23,2025-06-06,0,142,2,Preventive,Yes,Completed
SMMS000146,AST008406,Axle Counter,C00091,226.9,Axle Counter,Axle counter fault,High,1,2,2,2025-05-26,2025-06-02,29,123,2,Corrective,Yes,Open
SMMS000147,AST005359,Signal,C00031,79.4,Colour Light Signal,Signal lamp/equipment replacement,High,2,3,3,2025-05-24,2025-06-01,0,84,4,Corrective,Yes,Completed
SMMS000148,AST006853,Telecom Cable,C00051,3.0,Quad Cable,Cable fault,High,3,4,2,2025-05-10,2025-05-21,0,105,4,Corrective,Yes,Completed
SMMS000149,AST008314,Axle Counter,C00040,93.0,Axle Counter,Axle counter fault,Medium,4,3,2,2025-05-13,2025-06-03,28,67,3,Preventive,Yes,Scheduled
SMMS000150,AST005669,Point Machine,C00015,18.0,Electric Point Machine,Point machine fault,High,4,2,3,2025-06-26,2025-07-05,0,67,4,Preventive,No,Completed
SMMS000151,AST006739,Point Machine,C00092,52.2,Electric Point Machine,Point machine fault,Medium,3,1,2,2025-05-27,2025-06-09,22,185,3,Preventive,No,Open
SMMS000152,AST007282,Axle Counter,C00057,103.5,Axle Counter,Axle counter fault,High,3,4,2,2025-06-22,2025-06-27,4,89,3,Corrective,No,In Progress
SMMS000153,AST005917,Optical Fiber,C00019,53.6,OFC Link,Cable fault,High,3,4,2,2025-05-25,2025-06-01,30,104,3,Corrective,Yes,In Progress
SMMS000154,AST007063,Level Crossing Signal,C00049,58.4,LC Gate Signal,Signal failure,Low,2,2,1,2025-06-09,2025-07-20,0,108,5,Inspection,Yes,Completed
SMMS000155,AST008487,Interlocking,C00001,267.3,Route Relay Interlocking,Interlocking inspection,Medium,3,2,1,2025-05-16,2025-06-02,0,197,3,Inspection,No,Completed
SMMS000156,AST007700,Track Circuit,C00007,168.5,Track Circuit,Track circuit fault,High,5,4,3,2025-06-02,2025-06-08,0,101,3,Preventive,No,Completed
SMMS000157,AST006074,Signal,C00043,16.2,Colour Light Signal,Signal failure,Medium,1,3,2,2025-06-25,2025-07-09,0,97,3,Preventive,No,Open
SMMS000158,AST007697,Axle Counter,C00011,63.4,Axle Counter,Axle counter fault,Critical,5,4,2,2025-06-19,2025-06-22,9,122,3,Preventive,No,Deferred
SMMS000159,AST007867,Telecom Cable,C00065,48.8,Quad Cable,Cable fault,Low,1,2,1,2025-06-22,2025-07-25,0,167,3,Inspection,Yes,In Progress
SMMS000160,AST007778,Point Machine,C00033,45.0,Electric Point Machine,Point machine fault,Medium,3,3,3,2025-06-27,2025-07-15,0,208,3,Preventive,Yes,Completed
SMMS000161,AST006863,Interlocking,C00040,34.5,Route Relay Interlocking,Interlocking inspection,Low,3,2,1,2025-06-19,2025-07-24,0,161,3,Inspection,No,Open
SMMS000162,AST008377,Track Circuit,C00031,10.8,Track Circuit,Track circuit fault,Medium,3,2,2,2025-05-29,2025-06-13,18,130,3,Corrective,Yes,In Progress
SMMS000163,AST005548,Point Machine,C00023,25.3,Electric Point Machine,Point machine fault,High,2,3,3,2025-06-04,2025-06-09,22,161,4,Preventive,Yes,Scheduled
SMMS000164,AST006747,Signal,C00036,43.5,Colour Light Signal,Signal lamp/equipment replacement,Low,2,1,1,2025-03-07,2025-04-22,70,91,3,Corrective,Yes,Scheduled
